Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,Madhya Pradesh,Khargone,451221,237,330
01-03-2025,Haryana,Kaithal,136033,135,327
01-03-2025,Uttar Pradesh,Lucknow,227111,491,282
01-03-2025,Maharashtra,Yavatmal,445230,304,768
01-03-2025,Odisha,Kendujhar,758025,140,285
01-03-2025,West Bengal,Howrah,711226,40,70
01-03-2025,Uttar Pradesh,Fatehpur,212655,669,525
01-03-2025,Karnataka,Belgaum,591225,49,90
01-03-2025,Andhra Pradesh,Cuddapah,516126,145,118
01-03-2025,Bihar,Katihar,854108,613,819
01-03-2025,Uttarakhand,Haridwar,247668,73,116
01-03-2025,Andhra Pradesh,Srikakulam,532263,335,66
01-03-2025,Telangana,Karimnagar,505425,58,79
01-03-2025,Odisha,Bhadrak,756119,171,339
01-03-2025,West Bengal,South Twenty Four Parganas,743349,34,106
01-03-2025,Bihar,Munger,811211,600,816
01-03-2025,Maharashtra,Thane,401209,74,826
01-03-2025,Andhra Pradesh,Parvathipuram Manyam,535526,41,42
01-03-2025,Maharashtra,Pune,412301,332,933
01-03-2025,Uttar Pradesh,Ambedkar Nagar,224132,49,65
01-03-2025,Assam,Dhubri,783339,654,100
01-03-2025,West Bengal,Barddhaman,713378,33,47
01-03-2025,Odisha,Mayurbhanj,757039,174,343
01-03-2025,Uttar Pradesh,Allahabad,212106,701,371
01-03-2025,Tripura,South Tripura,799101,392,656
01-03-2025,Karnataka,Vijayapura,586125,187,52
01-03-2025,Haryana,Kurukshetra,136038,57,129
01-03-2025,Tamil Nadu,Tiruchirappalli,621307,239,262
01-03-2025,Madhya Pradesh,Khandwa,450051,65,104
01-03-2025,Tamil Nadu,Dindigul,624615,157,256
01-03-2025,West Bengal,Bankura,722162,58,52
01-03-2025,Andhra Pradesh,Prakasam,523326,234,115
01-03-2025,Gujarat,Valsad,396001,372,539
01-03-2025,Rajasthan,Churu,331501,127,217
01-03-2025,Kerala,Kozhikode,673611,98,168
01-03-2025,Delhi,South Delhi,110019,577,790
01-03-2025,Tamil Nadu,Dharmapuri,636904,239,92
01-03-2025,Maharashtra,Mumbai Suburban,400058,143,134
01-03-2025,Maharashtra,Pune,410505,399,729
01-03-2025,Uttarakhand,Chamoli,246424,92,146
01-03-2025,Telangana,Warangal,506163,82,62
01-03-2025,Odisha,Sambalpur,768105,120,223
01-03-2025,Telangana,Medchal-malkajgiri,500100,20,36
01-03-2025,Maharashtra,Mumbai Suburban,400097,322,469
01-03-2025,Odisha,Mayurbhanj,757093,60,107
01-03-2025,Gujarat,Bhavnagar,364230,149,192
01-03-2025,Rajasthan,Alwar,301416,59,83
01-03-2025,Gujarat,Kheda,387320,147,185
01-03-2025,Karnataka,Yadgir,585321,210,259
01-03-2025,Madhya Pradesh,Rewa,486341,447,279
01-03-2025,Gujarat,Bharuch,392035,52,48
